trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.25, 'e': 0.9929655081065369}",25,0,-159.08749910820788,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
70,False,"{'a': 0.25, 'e': 0.9927573419294455}",20,0,-104.30684301629488,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.25, 'e': 0.992546151641322}",20,0,-113.41944726903394,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.25, 'e': 0.9923319378854887}",20,0,-48.96408550880843,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.25, 'e': 0.9921147013144779}",20,0,-85.75624241551935,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.25, 'e': 0.9918944425900297}",30,0,-210.51405064088016,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
75,False,"{'a': 0.25, 'e': 0.9916711623830904}",25,0,-83.10738695668486,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 0.25, 'e': 0.9914448613738104}",35,0,-239.448183756587,"{0: 16, 1: 7, 2: 8, 3: 1, 4: 3}",0
77,False,"{'a': 0.25, 'e': 0.9912155402515417}",25,0,-124.03004341996993,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
78,False,"{'a': 0.25, 'e': 0.9909831997148363}",35,0,-152.69518542822988,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
79,False,"{'a': 0.25, 'e': 0.9907478404714436}",25,0,-122.66250686602409,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
80,False,"{'a': 0.25, 'e': 0.9905094632383088}",20,15,0.522458977833251,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.25, 'e': 0.9902680687415704}",25,0,-88.01445352960086,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
82,False,"{'a': 0.25, 'e': 0.9900236577165575}",25,0,-59.05264434503277,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.25, 'e': 0.989776230907789}",20,0,-25.059892583685418,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.25, 'e': 0.9895257890689695}",20,0,-65.77880714176324,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.25, 'e': 0.9892723329629883}",20,0,-42.36904735927891,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.25, 'e': 0.9890158633619168}",25,0,-117.85894981397085,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
87,False,"{'a': 0.25, 'e': 0.9887563810470058}",25,0,-121.37166261659425,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
88,False,"{'a': 0.25, 'e': 0.9884938868086836}",20,0,-180.53660627192403,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
89,False,"{'a': 0.25, 'e': 0.9882283814465528}",20,0,-36.43013927987813,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
90,False,"{'a': 0.25, 'e': 0.9879598657693891}",25,0,-148.93502426792764,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
91,False,"{'a': 0.25, 'e': 0.9876883405951378}",20,12,13.55881455863211,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.25, 'e': 0.9874138067509114}",25,0,-172.29614278550164,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
93,False,"{'a': 0.25, 'e': 0.9871362650729879}",20,0,-70.00034584853444,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.25, 'e': 0.9868557164068072}",20,0,-48.18989359547263,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
95,False,"{'a': 0.25, 'e': 0.9865721616069694}",25,0,-108.97542202577812,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.25, 'e': 0.9862856015372314}",20,0,-111.69187006673499,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
97,False,"{'a': 0.25, 'e': 0.985996037070505}",30,0,-174.70346568379296,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
98,False,"{'a': 0.25, 'e': 0.9857034690888535}",20,0,-151.3701292694595,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
99,False,"{'a': 0.25, 'e': 0.9854078984834901}",20,0,-88.20497055994744,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.9851093261547739}",20,0,-122.38494925537297,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
101,False,"{'a': 0.1, 'e': 0.984807753012208}",25,0,-66.72749707116469,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
102,False,"{'a': 0.1, 'e': 0.9845031799744366}",25,0,-109.48525540062676,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
103,False,"{'a': 0.1, 'e': 0.9841956079692419}",25,0,-183.07622835272883,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
104,False,"{'a': 0.1, 'e': 0.9838850379335417}",25,0,-131.70995329202017,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
105,False,"{'a': 0.1, 'e': 0.9835714708133859}",20,0,-111.8163079019243,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
106,False,"{'a': 0.1, 'e': 0.9832549075639546}",20,0,-53.075955879285196,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
107,False,"{'a': 0.1, 'e': 0.9829353491495543}",30,0,-117.11157798572566,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
108,False,"{'a': 0.1, 'e': 0.9826127965436152}",20,0,-115.8181539545417,"{0: 10, 1: 7, 2: 1, 3: 0, 4: 2}",0
109,False,"{'a': 0.1, 'e': 0.9822872507286887}",30,0,-138.24376726792073,"{0: 15, 1: 5, 2: 7, 3: 3, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.9819587126964436}",20,0,-101.11419350329405,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
111,False,"{'a': 0.1, 'e': 0.981627183447664}",25,0,-55.12027739358136,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 0.1, 'e': 0.9812926639922451}",30,0,-130.71485752151088,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
113,False,"{'a': 0.1, 'e': 0.9809551553491915}",30,0,-150.70439516242595,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
114,False,"{'a': 0.1, 'e': 0.980614658546613}",35,0,-357.7250242446911,"{0: 12, 1: 2, 2: 14, 3: 3, 4: 4}",0
115,False,"{'a': 0.1, 'e': 0.9802711746217219}",30,0,-177.38475122081408,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
116,False,"{'a': 0.1, 'e': 0.9799247046208296}",25,0,-157.0922027355302,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
117,False,"{'a': 0.1, 'e': 0.9795752495993441}",30,0,-160.30569653608117,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
118,False,"{'a': 0.1, 'e': 0.9792228106217657}",25,0,-79.80229112692182,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
